Id,ActivityDate,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,day_type
2347167796,2016-03-29,10272,2041,2,58,208,700,Weekday
6962181067,2016-03-30,15491,2244,18,77,272,641,Weekday
6775888955,2016-04-01,7225,3065,25,50,163,1189,Weekday
2891001357,2016-04-01,0,4562,0,660,0,780,Weekday
1644430081,2016-04-02,20237,4029,34,141,347,918,Weekend
6290855005,2016-04-02,9548,3119,25,107,113,1195,Weekend
4702921684,2016-04-03,12116,3357,3,57,323,471,Weekend
4319703577,2016-04-04,10067,2308,5,39,313,578,Weekday
3977333714,2016-04-04,11943,1648,16,43,297,710,Weekday
6775888955,2016-04-05,9348,4286,56,133,240,1011,Weekday
5577150313,2016-04-06,11080,3765,83,52,190,695,Weekday
6775888955,2016-04-06,11761,3920,24,99,300,550,Weekday
3977333714,2016-04-07,8422,1431,0,81,139,815,Weekday
5553957443,2016-04-07,15444,2249,51,39,243,731,Weekday
6775888955,2016-04-07,13987,3856,46,114,250,739,Weekday
1644430081,2016-04-07,11166,3202,3,58,230,1149,Weekday
2022484408,2016-04-07,18247,3021,72,62,252,1054,Weekday
3977333714,2016-04-08,10226,1524,0,101,174,685,Weekday
1644430081,2016-04-08,7842,2928,7,43,161,1229,Weekday
7086361926,2016-04-08,9634,2752,50,48,140,797,Weekday
4057192912,2016-04-08,8426,2360,2,120,25,1293,Weekday
4702921684,2016-04-09,14002,3597,8,56,381,407,Weekend
1644430081,2016-04-09,13840,3290,18,81,192,1149,Weekend
5577150313,2016-04-09,10494,3817,123,62,138,601,Weekend
2347167796,2016-04-11,10001,2009,5,52,196,788,Weekday
2347167796,2016-04-14,10129,2010,1,48,206,705,Weekday
1644430081,2016-04-14,11037,3226,5,58,252,1125,Weekday
5577150313,2016-04-15,12087,4005,115,54,199,695,Weekday
5577150313,2016-04-16,14269,4274,184,56,158,472,Weekend
3977333714,2016-04-16,13459,1625,31,83,153,663,Weekend
2347167796,2016-04-16,22244,2670,66,72,268,968,Weekend
3977333714,2016-04-17,10415,1529,11,58,205,600,Weekend
4702921684,2016-04-17,12692,3394,12,66,302,437,Weekend
3977333714,2016-04-18,11663,1584,4,95,214,605,Weekday
7086361926,2016-04-19,10688,2944,67,69,124,671,Weekday
1644430081,2016-04-19,11256,3300,5,58,278,1099,Weekday
3977333714,2016-04-19,12414,1638,19,67,221,738,Weekday
6775888955,2016-04-20,10771,3727,70,113,178,1079,Weekday
2022484408,2016-04-20,15112,2897,48,63,276,1053,Weekday
2347167796,2016-04-20,10999,2198,11,43,269,1011,Weekday
3977333714,2016-04-20,11658,1554,2,98,164,845,Weekday
5577150313,2016-04-21,10830,4018,110,74,175,670,Weekday
2022484408,2016-04-21,12453,3158,104,53,255,1028,Weekday
7086361926,2016-04-22,9753,2846,58,59,153,762,Weekday
7007744171,2016-04-22,15299,2889,64,50,261,1065,Weekday
8583815059,2016-04-22,8687,2944,4,54,212,1170,Weekday
3977333714,2016-04-23,12058,1638,0,92,252,724,Weekend
8583815059,2016-04-23,9423,3012,7,44,238,1151,Weekend
4702921684,2016-04-23,15126,3691,9,66,408,469,Weekend
5577150313,2016-04-24,15764,4392,210,65,141,425,Weekend
4702921684,2016-04-24,15050,3538,15,95,281,542,Weekend
3977333714,2016-04-24,14112,1655,30,95,129,660,Weekend
8583815059,2016-04-24,8286,2889,2,44,206,1188,Weekend
8253242879,2016-04-25,6829,1909,7,54,118,1261,Weekday
7086361926,2016-04-25,10091,2752,69,39,129,706,Weekday
3977333714,2016-04-26,11388,1551,7,95,170,797,Weekday
8583815059,2016-04-26,10499,3093,1,91,214,1134,Weekday
4319703577,2016-04-27,10780,2324,6,47,300,680,Weekday
4388161847,2016-04-27,11193,3074,11,48,241,684,Weekday
7086361926,2016-04-28,11584,2862,54,48,161,810,Weekday
1644430081,2016-04-28,9405,3108,3,53,227,1157,Weekday
2022484408,2016-04-29,10245,2611,21,40,281,1098,Weekday
8583815059,2016-04-29,15168,3513,46,67,258,1069,Weekday
3977333714,2016-04-30,13238,1650,43,52,194,687,Weekend
4388161847,2016-04-30,12533,3283,14,43,300,537,Weekend
1644430081,2016-04-30,18213,3846,9,71,402,816,Weekend
3977333714,2016-05-01,10414,1501,41,40,124,691,Weekend
1624580081,2016-05-01,36019,2690,186,63,171,1020,Weekend
6290855005,2016-05-01,9837,3327,8,95,282,1055,Weekend
